processed,target
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is wdc 10 191 154 234 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com nimbus eng vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is wdc 10 191 159 69 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com nimbus eng vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is wdc 10 191 232 218 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com nimbus eng vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item hostname success is false vm hostname is wdc 10 191 224 30 expected hostname is go sc dhcp vm 01 and hostname success is false failed localhost item dns domain success is false vm dns domain name is nimbus eng vmware com expected domain name is go sc test com and dns domain success is false failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com nimbus eng vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play memory hot add basic timestamp task check memory size got from guest os fatal localhost failed get memory size in guest number mb not expected number mb,product
timestamp failed at play go sc sanity dhcp timestamp task customize windows guest os fatal localhost failed customization failed for detailed information see warnings waiting for customization result event timed out,product
timestamp failed at play go sc perl dhcp timestamp task customize linux guest os fatal localhost failed customization failed for detailed information see warnings waiting for customization result event timed out,product
timestamp failed at play go sc perl static ip timestamp task customize linux guest os fatal localhost failed customization failed for detailed information see warnings waiting for customization result event timed out,product
timestamp failed at play go sc sanity static ip timestamp task customize windows guest os fatal localhost failed customization failed for detailed information see warnings waiting for customization result event timed out,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item dns servers success is false vm dns servers are ip address ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item dns servers success is false vm dns servers are ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are nimbus eng vmware com eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc cloud init dhcp timestamp task assert cloud init guest customization checks all pass failed localhost item dns servers success is false vm dns servers are ip address ip address not expected dns servers ip address ip address and dns servers success is false failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com nimbus eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false,product
timestamp failed at play go sc cloud init dhcp timestamp task check service cloud configuration is enabled fatal localhost failed ser i vc e cloud configuration is not enabled,product
timestamp failed at play lsi logic sas v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,product
timestamp failed at play go sc cloud init dhcp timestamp task assert cloud init guest customization checks all pass failed localhost item time zone success is false vm time zone is america los angeles expected time zone is europe berlin and time zone success is false,product
timestamp failed at play go sc perl dhcp timestamp task customize linux guest os fatal localhost failed customization failed for detailed information see warnings waiting for customization start event timed out,product
timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost ip address failed when ls blk,product
timestamp failed at play go sc perl static ip timestamp task customize linux guest os fatal localhost failed customization failed for detailed information see warnings waiting for customization start event timed out,product
timestamp failed at play check quiesce snapshot timestamp task check if get expected configuration in vmx fatal localhost failed disk enable uuid true is not in vm vmx file,product
timestamp failed at play cpu hot add basic timestamp task set vm cpu number and or cores per socket number fatal localhost failed the available memory resources in the parent resource pool are insufficient for the operation,product
timestamp failed at play sata v hba device ops timestamp task add new disk to vm via vmware guest module fatal localhost failed the available memory resources in the parent resource pool are insufficient for the operation,product
timestamp failed at play nvme v hba device ops timestamp task add new disk to vm via vmware guest module fatal localhost failed the available memory resources in the parent resource pool are insufficient for the operation,product
timestamp failed at play memory hot add basic timestamp task set memory size to number mb fatal localhost failed the available memory resources in the parent resource pool are insufficient for the operation,product
timestamp failed at play para virtual v hba device ops timestamp task add new disk to vm via vmware guest module fatal localhost failed the available memory resources in the parent resource pool are insufficient for the operation,product
timestamp failed at play para virtual v hba device ops timestamp task verify disk controller number increases in guest os fatal localhost failed disk controller number not increase number before hot add number after hot add number,product
timestamp failed at play lsi logic sas v hba device ops timestamp task verify disk controller number increases in guest os fatal localhost failed disk controller number not increase number before hot add number after hot add number,product
timestamp failed at play nvme v hba device ops timestamp task verify disk controller number increases in guest os fatal localhost failed disk controller number not increase number before hot add number after hot add number,product
timestamp failed at play memory hot add basic timestamp task set memory size to number mb fatal localhost failed invalid virtual machine configuration,product
timestamp failed at play nvme v hba device ops spec number timestamp task hot add or remove vm disk controller task path home worker workspace ansible cycle windows server number number ansible vsphere gos validation common vm hot add remove disk ctrl yml number exception in vmware guest controller python when configure disk controllers in vmware python when wait for task fatal localhost failed the guest operating system did not respond to a hot remove request for device nvme number in a timely manner none,product
timestamp failed at play nvme v hba device ops spec number timestamp task hot add or remove vm disk controller task path home worker workspace ansible cycle windows number number ansible vsphere gos validation common vm hot add remove disk ctrl yml number exception in vmware guest controller python when configure disk controllers in vmware python when wait for task fatal localhost failed the guest operating system did not respond to a hot remove request for device nvme number in a timely manner none,product
timestamp failed at play network device ops timestamp task add a new adapter in vswitch timestamp number number number page to vm test vm fatal localhost failed module failure see stdout stderr for the exact error,product
timestamp failed at play vmxnet number network device ops timestamp task add a new vmxnet number adapter in vswitch timestamp number number number page to vm test vm fatal localhost failed module failure see stdout stderr for the exact error,product
timestamp failed at play go sc perl dhcp timestamp task customize linux guest os fatal localhost failed customization of the guest operating system is not supported due to the given reason,product
timestamp failed at play go sc perl static ip timestamp task customize linux guest os fatal localhost failed customization of the guest operating system is not supported due to the given reason,product
timestamp failed at play go sc cloud init dhcp timestamp task customize linux guest os fatal localhost failed customization of the guest operating system is not supported due to the given reason,product
timestamp failed at play go sc cloud init static ip timestamp task customize linux guest os fatal localhost failed customization of the guest operating system is not supported due to the given reason,product
timestamp failed at play go sc sanity static ip timestamp task customize windows guest os fatal localhost failed customization of the guest operating system is not supported due to the given reason,product
timestamp failed at play go sc sanity dhcp timestamp task customize windows guest os fatal localhost failed customization of the guest operating system is not supported due to the given reason,product
timestamp failed at play cpu hot add basic timestamp task vm log info check failure task path home worker workspace ansible regression windows server lts c ansible vsphere gos validation windows utilities win check win bsod yml number fatal localhost failed get windows guest bsod keyword win bsod in vmware log,product
timestamp failed at play secure boot enable disable timestamp task secure boot enable disable check secure boot enable and disable test results task path home worker workspace ansible regression photon number ova ansible vsphere gos validation linux secure boot enable disable secure boot enable disable yml number fatal localhost failed enable secure boot result false disable secure boot result true,product
timestamp failed at play go sc cloud init static ip timestamp task gos customization failed task path home worker workspace ansible debian number x number b it para virtual vmxnet number bios ansible vsphere gos validation linux guest customization linux go sc verify yml number fatal localhost failed vm static ip v number address is ip address expected ip v number address is ip address vm static ip v number gateway is ip address expected ip v number gateway is ip address,product
timestamp failed at play environment setup timestamp task deploy vm from ovf template exception in ansi ball z vmware deploy ovf python when ansi ball z main in soap adapter python when invoke method fatal localhost failed module failure see stdout stderr for the exact error,testcase
timestamp failed at play check quiesce snapshot timestamp task check specified file status until it exists in windows guest fatal localhost ip address failed,testcase
timestamp failed at play deploy ubuntu ova timestamp task remove a serial port using output file fatal localhost failed a serial device can not be added to a vm in the current state powered on please use the vmware guest power state module to power off the vm timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy ubuntu ova,testcase
timestamp failed at play deploy vm efi nvme timestamp task wait for getting vm test windows 10 32 1645428736027 ip address on esxi pe k2 hs1 eng vmware com fatal localhost un reachable data could not be sent to remote host pe k2 hs1 eng vmware com make sure this host can be reached over ssh ssh connect to host pe k2 hs1 eng vmware com port 22 connection timed out,testcase
timestamp failed at play deploy vm efi nvme timestamp task wait for getting vm test windows 10 64 1645428722003 ip address on esxi pe k2 hs1 eng vmware com fatal localhost un reachable data could not be sent to remote host pe k2 hs1 eng vmware com make sure this host can be reached over ssh ssh connect to host pe k2 hs1 eng vmware com port 22 connection timed out,testcase
timestamp failed at play deploy vm efi nvme timestamp task wait for getting vm test windows server lts c 22538 1645428724556 ip address on esxi pe k2 hs1 eng vmware com fatal localhost un reachable data could not be sent to remote host pe k2 hs1 eng vmware com make sure this host can be reached over ssh ssh connect to host pe k2 hs1 eng vmware com port 22 connection timed out,testcase
timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost failed failed to set execute bit on remote files rc 1 error chmod changing permissions of tmp ansible tmp hex id 759 timestamp read only file system chmod changing permissions of tmp ansible tmp hex id 759 timestamp ansi ball z command python read only file system,testcase
timestamp failed at play lsi logic v hba device ops timestamp task wait for device list changed fatal localhost failed failed to set execute bit on remote files rc 1 error chmod changing permissions of tmp ansible tmp hex id 884 timestamp read only file system chmod changing permissions of tmp ansible tmp hex id 884 timestamp ansi ball z command python read only file system,testcase
timestamp failed at play memory hot add basic timestamp task set vm power state to shutdown guest fatal localhost failed vmware tools should be installed for guest shutdown reboot,testcase
timestamp failed at play para virtual v hba device ops timestamp task check disk controller facts are same as before hot adding tests fatal localhost failed after tests vm disk controller fact is scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing 1 controller summary vmware para virtual scsi controller label scsi controller 1 controller bus number 1 controller controller key 100 controller device key 1001 controller unit number 4 controller disks device key controller bus sharing no sharing sata nvme usb 2 usb 3 before tests it s scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing sata nvme usb 2 usb 3,testcase
timestamp failed at play nvme v hba device ops timestamp task check disk controller facts are same as before hot adding tests fatal localhost failed after tests vm disk controller fact is scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing sata nvme 0 controller summary nvme controller 0 controller label nvme controller 0 controller bus number 0 controller controller key 100 controller device key 31000 controller unit number 30 controller disks device key 32000 usb 2 usb 3 before tests it s scsi 0 controller summary vmware para virtual scsi controller label scsi controller 0 controller bus number 0 controller controller key 100 controller device key 1000 controller unit number 3 controller disks device key 2000 controller bus sharing no sharing sata nvme usb 2 usb 3,testcase
timestamp failed at play go sc sanity dhcp timestamp task check guest customization state fatal localhost failed not found tools deploy package publish state state 5 code 0 in vmware log timestamp task check if specified file exists in windows guest os fatal localhost un reachable failed to connect to the host via psrp https connection pool host ip address port 5986 max retries exceeded with url wsman caused by new connection error url library 3 connection https connection object at hex id failed to establish a new connection error number 110 connection timed out,testcase
timestamp failed at play cpu multi cores per socket timestamp task check cpu cores per socket is set correctly fatal localhost failed failed to set cpu cores per socket to 12 timestamp task check vm snapshot is taken and is the current one fatal localhost failed failed to take snapshot fail cpu multi cores per socket timestamp 07 10 37 on vm test vm,testcase
timestamp failed at play deploy vm efi para virtual vmxnet 3 timestamp task add virtual tpm device to vm exception in vmware guest tpm python when vtpm operation in vmware python when wait for task fatal localhost failed failed to configure vtpm device on virtual machine due to runtime fault summary none timestamp task check if exit testing parameter is set fatal localhost failed exit testing when exit testing when fail is set to true,testcase
timestamp failed at play secure boot enable disable timestamp task check secure boot is enabled in guest os fatal localhost failed secure boot enabled status in guest os false,testcase
timestamp failed at play lsi logic v hba device ops timestamp task re scan all scsi devices file not found error error number 2 no usable temporary directory found in tmp var tmp user tmp root fatal localhost ip address failed module failure see stdout stderr for the exact error,testcase
timestamp failed at play deploy vmware photon ova timestamp task wait for port number to become open or contain specific keyword task path home worker workspace ansible photon number x ova ansible vsphere gos validation common vm wait ssh yml number fatal localhost failed timeout when waiting for search string openssh in ip address timestamp task testing exit due to failure task path home worker workspace ansible photon number x ova ansible vsphere gos validation common test rescue yml number fatal localhost failed exit testing when exit testing when fail is set to true in test case deploy vmware photon ova,testcase
timestamp failed at play deploy vmware photon ova timestamp task wait for port number to become open or contain specific keyword task path home worker workspace ansible photon number x ova number ga ansible vsphere gos validation common vm wait ssh yml number fatal localhost failed timeout when waiting for search string openssh in ip address timestamp task testing exit due to failure task path home worker workspace ansible photon number x ova number ga ansible vsphere gos validation common test rescue yml number fatal localhost failed exit testing when exit testing when fail is set to true in test case deploy vmware photon ova,testcase
timestamp failed at play para virtual v hba device ops timestamp task run io zone test on new added disk fatal localhost ip address failed non zero return code,testcase
timestamp failed at play vm library main timestamp task fail task path home worker workspace create new vm library template new gos testing internal vm library download and execute script yml number fatal localhost failed at least one guest configuration is incorrect in number photon number number efi open vm tools timestamp utc error check number serv fail is set in etc hostname no timestamp utc error check sta f is running no timestamp utc error check sta f ip address ping ping get pong no timestamp utc error fail to download http go sv pub eng vmware com go sv ovf scripts apps linux vet send ip pl,testcase
timestamp failed at play vm library main timestamp task fail task path home worker workspace create new vm library template new gos testing internal vm library download and execute script yml number fatal localhost failed at least one guest configuration is incorrect in number photon number number efi open vm tools timestamp utc error check reached is set in etc hostname no timestamp utc error check sta f is running no timestamp utc error check sta f ip address ping ping get pong no timestamp utc error fail to download http go sv pub eng vmware com go sv ovf scripts apps linux vet send ip pl,testcase
timestamp failed at play deploy vmware photon ova timestamp task wait for port number to become open or contain specific keyword task path home worker workspace ansible regression photon number ova ansible vsphere gos validation common vm wait ssh yml number fatal localhost failed timeout when waiting for search string openssh in ip address timestamp task testing exit due to failure task path home worker workspace ansible regression photon number ova ansible vsphere gos validation common test rescue yml number fatal localhost failed exit testing when exit testing when fail is set to true in test case deploy vmware photon ova,testcase
timestamp failed at play deploy vm efi nvme vmxnet number timestamp task include tasks fatal localhost failed could not find or access home worker workspace ansible regression rhel number x ansible vsphere gos validation common vm get video card yml on the ansible controller timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm efi nvme vmxnet number,testcase
timestamp failed at play deploy vm efi sata vmxnet number timestamp task create un attend configuration file from template if you are using a module and expect the file to exist on the remote see the remote source option fatal localhost failed could not find or access home worker workspace ansible rhel number x ansible vsphere gos validation auto install rhel number server with gui ks configuration on the ansible controller if you are using a module and expect the file to exist on the remote see the remote source option timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm efi sata vmxnet number,testcase
timestamp failed at play win tools complete install verify timestamp task win tools complete install verify configure vm cdrom to iso task path home worker workspace ansible cycle windows server number number ansible vsphere gos validation common vm configure cdrom yml number fatal localhost failed connection control operation failed for disk sata number number,targetvm
timestamp failed at play deploy vm bios para virtual timestamp task create un attend configuration file from template if you are using a module and expect the file to exist on the remote see the remote source option fatal localhost failed could not find or access home worker workspace ansible rhel number x number ga ansible vsphere gos validation auto install rhel number server with gui ks configuration on the ansible controller if you are using a module and expect the file to exist on the remote see the remote source option timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm bios para virtual e number e,testcase
timestamp failed at play deploy vm bios nvme vmxnet number timestamp task create un attend configuration file from template if you are using a module and expect the file to exist on the remote see the remote source option fatal localhost failed could not find or access home worker workspace ansible rhel number x ansible vsphere gos validation auto install rhel number server with gui ks configuration on the ansible controller if you are using a module and expect the file to exist on the remote see the remote source option timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm bios nvme vmxnet number,testcase
timestamp failed at play deploy vm efi para virtual timestamp task create un attend configuration file from template if you are using a module and expect the file to exist on the remote see the remote source option fatal localhost failed could not find or access home worker workspace ansible rhel number x ansible vsphere gos validation auto install rhel number server with gui ks configuration on the ansible controller if you are using a module and expect the file to exist on the remote see the remote source option timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm efi para virtual e number e,testcase
timestamp failed at play deploy vm bios ide timestamp task create a new vm test vm on server ip address fatal localhost failed value of controller type must be one of bus logic lsi logic para virtual lsi logic sas sata nvme got ide found in disk timestamp task check if exit testing parameter is set fatal localhost failed exit testing when exit testing when fail is set to true,testcase
timestamp failed at play deploy vm efi ide timestamp task create a new vm test vm on server ip address fatal localhost failed value of controller type must be one of bus logic lsi logic para virtual lsi logic sas sata nvme got ide found in disk timestamp task check if exit testing parameter is set fatal localhost failed exit testing when exit testing when fail is set to true,testcase
timestamp failed at play win tools complete install verify timestamp task download vmware tools fatal localhost failed request failed http error number not found when get link,testcase
timestamp failed at play deploy vm efi nvme vmxnet number timestamp task create a new vm test vm on server ip address fatal localhost failed failed to create a virtual machine a component of the virtual machine is not accessible on the host timestamp task exit testing when exit testing when fail is set true fatal localhost failed failed to run test case deploy vm efi nvme vmxnet number,testcase
timestamp failed at play go sc perl dhcp timestamp task assert perl guest customization checks all pass failed localhost item go sc log success is false perl guest customization with dhcp ip failed on key go sc log success value false and go sc log success is false,testcase
timestamp failed at play go sc perl static ip timestamp task assert perl guest customization checks all pass failed localhost item go sc log success is false perl guest customization with static ip failed on key go sc log success value false and go sc log success is false,testcase
timestamp failed at play deploy vm bios lsi logic sas timestamp task create a new vm test vm on server ip address fatal localhost failed failed to create a virtual machine a specified parameter was not correct configuration spec guest id timestamp task check if exit testing parameter is set fatal localhost failed exit testing when exit testing when fail is set to true,testcase
timestamp failed at play deploy vm efi para virtual timestamp task create a new vm test vm on server ip address fatal localhost failed failed to create a virtual machine a specified parameter was not correct configuration spec guest id timestamp task check if exit testing parameter is set fatal localhost failed exit testing when exit testing when fail is set to true,testcase
