anchor,log,label
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x invalid argument http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x error hex id http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text attempting to start up from efi network no media efi network,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text attempting to start up from efi network number unsuccessful efi virtual disk number unsuccessful efi virtual disk number unsuccessful efi virtual disk number unsuccessful efi virtual disk number unsuccessful efi virtual disk number unsuccessful efi virtual disk number unsuccessful efi vmware virtual ide cdrom drive ide number number unsuccessful efi network unsuccessful efi network number unsuccessful efi network number,relevant
timestamp number execution expired,timestamp number still waiting for ip ips nimbus ip hex id ip ip address types guest expected up ports number number number up ports number number number,relevant
timestamp number execution expired,timestamp number waiting to get an ip for rve puri la kshm vcqa cat number number esx number,relevant
timestamp number execution expired,timestamp number screenshot listener failed to capture screen shot number conflict,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x invalid argument http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x operation not supported http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number waiting for vm to get ip v number address,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text a esx up down letter select enter boot space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu press ctrl b for the ipxe command line,relevant
timestamp number execution expired,timestamp number waiting to get an ip for svc vm platform sec esx tokend cpp number number esx number,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using snp on snp pci number b number open link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x error hex id http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x operation not supported http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text suite default efi pxe boot a reboot b number esx number rc companion beta build c number esx number rcd number esx number beta number e number esx number companion beta build f number esx number g number esx number ga companion beta build h number esx number ga i number esx version id ga companion beta build j number esx version id ga k number esx number ga companion beta build l number esx number gam number esx number ga companion beta build n number esx number ga you are trying to network boot a machine in uefi mode use pxe configuration pl to configure what this machine should boot or choose one of the options on this menu see https wiki eng vmware com suite up down letter select enter boot space pause esc restart backspace quit,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text up down letter select enter boot space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x network un reachable http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x the socket is not connected http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text boot manager boot normally continue to boot using the default boot order efi network efi virtual disk number efi virtual disk number efi network number efi internal shell un supported option enter setup reset the system shut down the system move highlight enter select entry,relevant
timestamp number execution expired,timestamp number still waiting for ip ips nimbus ip number x timestamp ip ip address types guest expected up ports number number number up ports number number number,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x error hex id http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number retry number with rebooting the vm,relevant
timestamp number execution expired,timestamp number waiting to get an ip for svc vc cpd pdp auto vc qa cat number number esx number,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text unsuccessful efi network number,relevant
timestamp number execution expired,timestamp number waiting to get an ip for svc v cpd p automation vc qa cat number number esx number,relevant
timestamp number execution expired,timestamp number ignoring screen analyzer error open uri http error number conflict,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text time out efi network number,relevant
timestamp number execution expired,timestamp number reached max retries forwarding exception execution expired,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text attempting to start up from efi network no media efi network no media efi virtual disk number no media efi virtual disk number no media efi network number,relevant
timestamp number execution expired,timestamp number waiting to get an ip for svc vm platform sec langley number number esx number,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x network un reachable http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x invalid argument http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x operation not supported http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x the socket is not connected http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text time out efi network,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x the socket is not connected http ipxe org hex id received e number x operation not supported http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number nimbus ip listener rb in wait for ip,relevant
timestamp number execution expired,timestamp number waiting to get an ip for svc v cpd pblr auto vc qa cat number number esx number,relevant
timestamp number execution expired,timestamp number waiting to get an ip for j ian xian gz vc qa cat number number esx number,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text boot manager boot normally continue to boot using the default boot order efi network number efi virtual disk number efi virtual disk number efi virtual disk number efi virtual disk number efi virtual disk number efi network efi network number efi network number efi internal shell un supported option enter setup reset the system shut down the system move highlight enter select entry,relevant
timestamp number execution expired,timestamp number hasn t got ip yet,relevant
timestamp number execution expired,timestamp number connection not bound error raised during event loop event machine connection not bound unknown connection number,relevant
timestamp number execution expired,timestamp number waiting to get an ip for svc vm platform sec test vpx q boot cf number number esx number,relevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x invalid argument http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release bora hex id publish pxe modules mboot efi connection timed out http ipxe org number could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,relevant
timestamp number execution expired,timestamp number git version for git heads master number g number d number,irrelevant
timestamp number execution expired,timestamp number git version for nimbus configurations heads release number g number cc number ba,irrelevant
timestamp number execution expired,timestamp number writing deployment results to svc vm platform sec langley number number esx number nimbus esx deploy result json,irrelevant
timestamp number execution expired,timestamp number converter rb number in try esx uefi screen conversion,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text up down letter select enter boot space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x the socket is not connected http ipxe org hex id received e number x the socket is not connected http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number debug template path nimbus esx template ob hex id,irrelevant
timestamp number execution expired,timestamp number esx template sb hex id clone vm task event chain id number,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x invalid argument http ipxe org hex id received e number x operation not supported http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release bora hex id publish pxe modules mboot efi connection timed out http ipxe org number could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number esx version from build web is version id,irrelevant
timestamp number execution expired,timestamp number git version for nimbus configurations heads release number gdb number dd number,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text a esx up down letter select enter boot space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address,irrelevant
timestamp number execution expired,timestamp number hostname sc number number number number number eng vmware com pid number,irrelevant
timestamp number execution expired,timestamp number svc vm provision vc qa cat number number esx number re configuration vm task event chain id number,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x invalid argument http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x error hex id http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number converter rb number in from image,irrelevant
timestamp number execution expired,timestamp number svc vm encryption vc qa cat number number esx number re configuration vm task event chain id number,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text a esx up down letter select enter boot space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x the socket is not connected http ipxe org hex id received e number x error hex id http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp,irrelevant
timestamp number execution expired,timestamp number svc vm platform sec esx tokend cpp number number esx number re configuration vm task event chain id number,irrelevant
timestamp number execution expired,timestamp number adding disk disk hex id,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x the socket is not connected http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number still waiting for ip ips nimbus ip number x timestamp ip ip address types guest expected up ports number number number up ports number number number nimbus ip hex id ip ip address types screenshot expected up ports number number number up ports,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x network un reachable http ipxe org hex id received e number x error hex id http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release bora hex id publish pxe modules mboot efi connection timed out http ipxe org number could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using n ii on n ii number open link up transmitted number transmitted e number received number received e number received e number x operation not supported http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x error hex id http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number git version for rb vmomi utilities heads release number g number f number d,irrelevant
timestamp number execution expired,timestamp number disk configure parameters,irrelevant
timestamp number execution expired,timestamp number vm configuration spec,irrelevant
timestamp number execution expired,timestamp number writing deployment results to svc vc cpd pdp auto vc qa cat number number esx number nimbus esx deploy result json,irrelevant
timestamp number execution expired,timestamp number number hex id for number,irrelevant
timestamp number execution expired,timestamp number looking up build ob hex id,irrelevant
timestamp number execution expired,timestamp number j ian xian gz vc qa cat number number esx number reset vm task event chain id hex id,irrelevant
timestamp number execution expired,timestamp number using pxe directory hex id,irrelevant
timestamp number execution expired,timestamp number vim connection op id is nbs number nkzxdp,irrelevant
timestamp number execution expired,timestamp number vim connection op id is nbs owl number qly,irrelevant
timestamp number execution expired,timestamp number svc v cpd pblr auto vc qa cat number number esx number power on vm task event chain id hex id,irrelevant
timestamp number execution expired,timestamp number user tut ik as,irrelevant
timestamp number execution expired,timestamp number svc vm platform sec test vpx q boot cf number number esx number reset vm task event chain id number,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x network un reachable http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x invalid argument http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number svc vm platform sec esx tokend cpp number number esx number power on vm task event chain id number,irrelevant
timestamp number execution expired,timestamp number id uid number svc vm encryption gid number mts groups number mts,irrelevant
timestamp number execution expired,timestamp number data store wdc number vsan,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text configuring net number mac address ok net number mac address using snp on snp number open link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x operation not supported http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number svc vm platform sec test vpx q boot cf number number esx number mac addresses mac address mac address mac address mac address,irrelevant
timestamp number execution expired,timestamp number derived ip v number address ip address,irrelevant
timestamp number execution expired,timestamp number connecting to nimbus sc number number oc vmware com,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text net number mac address using snp on snp pci number b number open link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x the socket is not connected http ipxe org hex id received e number x operation not supported http ipxe org hex id received e number x invalid argument http ipxe org hex id configuring net number mac address ok net number ip address ip address gw ip address net number ip address net number ip address gw ip address next server ip address filename linux install ipxe tramp tftp ip address linux install ipxe tramp ok ipxe tramp number bytes script http ip address cgi bin ipxe tramp cgi mac mac address ok http ip address linux install ipxe mac address ok http build squid eng vmware com build mts release sb hex id publish pxe modules mboot efi connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot connection timed out http ipxe org hex id could not boot image connection timed out http ipxe org hex id number error number timeout press a key to continue,irrelevant
timestamp number execution expired,timestamp number disk info vmware para virtual scsi scsi controller number,irrelevant
timestamp number execution expired,timestamp number un recognized esx screen shot screen text a esx up down letter select enter boot space pause esc restart backspace quit ipxe initialising devices ok vmware ipxe build hex id snp only number efi load options ipxe version id vmware open source network boot firmware http ipxe org features dns http https tftp efi menu configuring net number mac address ok net number mac address using snp on snp number open link up transmitted number transmitted e number received number received e number transmitted e number x error hex id http ipxe org hex id received e number x error hex id http ipxe org hex id received e number x operation not supported http ipxe org hex id configuring net number mac address,irrelevant
